family,r,k,changed_entries,descriptors,compression_ratio,unique_shapes
adversarial,36,20,59.0,14.5,4.018099547511312,8.0
adversarial,64,28,89.0,19.5,4.879385964912281,12.0
adversarial,100,36,155.0,25.5,5.941818181818181,14.0
adversarial,144,44,166.0,31.5,5.777777777777778,16.0
grid,36,20,40.0,14.5,3.0444444444444443,5.0
grid,64,28,60.0,19.5,2.891304347826087,6.5
grid,100,36,112.0,23.5,4.905303030303031,11.0
grid,144,44,110.0,28.5,4.469298245614035,9.0
random_planar,36,20,45.0,13.5,3.2548076923076925,4.5
random_planar,64,28,69.0,16.5,4.259109311740891,6.0
random_planar,100,36,85.0,21.5,4.688311688311688,6.5
random_planar,144,44,143.0,26.0,5.9411764705882355,10.0
road,36,20,42.0,13.0,3.4272727272727272,9.0
road,64,28,71.0,20.0,4.0,8.0
road,100,36,103.0,21.5,4.833333333333333,10.5
road,144,44,150.0,23.0,6.158371040723981,9.0
triangulated,36,20,47.0,14.5,3.685714285714286,6.0
triangulated,64,28,40.0,12.5,3.85,5.5
triangulated,100,36,106.0,20.0,5.295454545454545,9.0
triangulated,144,44,121.0,22.5,5.300000000000001,8.0
