family,m,r,k,seed,step,edge,old_weight,delta,changed_entries,active_row_descriptors,compression_ratio,max_cyclic_intervals_per_row,interval_violations,support_equivalence,unique_row_interval_shapes,bitonic_rows_tested,bitonic_violations,unimodal_peak_violations,max_slack_sign_turns
grid,6,36,20,0,0,"((0, 4), (1, 4))",0.8377114993067375,0.6000214008717781,98,20,4.9,1,0,True,10,17,0,0,1
grid,6,36,20,0,1,"((4, 3), (5, 3))",1.5376849292622292,1.2167721706032824,48,15,3.2,1,0,True,4,9,0,0,1
grid,6,36,20,0,2,"((4, 0), (4, 1))",1.8841249404939744,1.0413277446595968,26,9,2.888888888888889,1,0,True,4,2,0,0,0
grid,6,36,20,0,3,"((1, 3), (1, 4))",0.8870699267534254,0.3216645290776482,22,11,2.0,1,0,True,6,3,0,0,1
grid,6,36,20,0,4,"((4, 1), (4, 2))",1.1345252395151282,0.9228815158030728,30,15,2.0,1,0,True,6,3,0,0,0
grid,6,36,20,0,5,"((4, 4), (5, 4))",1.1740805551668463,0.6648580646617228,36,14,2.5714285714285716,1,0,True,4,2,0,0,1
grid,6,36,20,1,0,"((2, 4), (3, 4))",1.402189207283428,0.5199833410348051,22,9,2.4444444444444446,1,0,True,6,6,0,0,0
grid,6,36,20,1,1,"((3, 3), (4, 3))",0.9232821128111856,0.24823228902582314,60,16,3.75,1,0,True,10,13,0,0,1
grid,6,36,20,1,2,"((2, 0), (2, 1))",1.0420883386433113,0.7674953159663902,56,15,3.7333333333333334,1,0,True,4,11,0,0,1
grid,6,36,20,1,3,"((4, 1), (5, 1))",1.0199930603885605,0.7204793808143847,30,11,2.727272727272727,1,0,True,4,3,0,0,0
grid,6,36,20,1,4,"((2, 5), (3, 5))",1.3424659615293892,1.0046573557100318,80,18,4.444444444444445,1,0,True,8,14,0,0,0
grid,6,36,20,1,5,"((2, 1), (3, 1))",1.4497149554373698,0.8554137587948707,44,11,4.0,1,0,True,4,10,0,0,0
grid,8,64,28,0,0,"((6, 2), (6, 3))",0.8692202024976312,0.489352867976745,32,14,2.2857142857142856,1,0,True,6,7,0,0,1
grid,8,64,28,0,1,"((6, 5), (7, 5))",1.7204320173854293,1.1720799440403014,36,13,2.769230769230769,1,0,True,4,7,0,0,1
grid,8,64,28,0,2,"((3, 1), (4, 1))",1.1345252395151282,0.683760649095828,54,18,3.0,1,0,True,8,9,0,0,1
grid,8,64,28,0,3,"((4, 0), (4, 1))",1.2464306545296109,0.20304354866941624,64,23,2.782608695652174,1,0,True,6,8,0,0,1
grid,8,64,28,0,4,"((1, 2), (2, 2))",1.9376526206182618,1.372729745159375,36,17,2.1176470588235294,1,0,True,8,4,0,0,1
grid,8,64,28,0,5,"((5, 1), (6, 1))",0.828926021892302,0.31865594314587176,112,28,4.0,1,0,True,13,20,0,0,1
grid,8,64,28,1,0,"((0, 5), (1, 5))",0.9400496267342667,0.3784876208143501,62,24,2.5833333333333335,1,0,True,6,7,0,0,1
grid,8,64,28,1,1,"((1, 1), (2, 1))",0.8014502756484755,0.48893463928571573,116,27,4.296296296296297,1,0,True,10,22,0,0,1
grid,8,64,28,1,2,"((4, 3), (5, 3))",1.0666300873634638,0.8129619342416856,90,20,4.5,1,0,True,8,13,0,0,1
grid,8,64,28,1,3,"((5, 6), (5, 7))",1.3016564530846881,0.7206782516566914,58,21,2.761904761904762,1,0,True,6,3,0,0,1
grid,8,64,28,1,4,"((1, 5), (2, 5))",1.027648398235027,0.538429873968119,70,19,3.6842105263157894,1,0,True,5,12,0,0,1
grid,8,64,28,1,5,"((4, 1), (5, 1))",1.598684634956557,0.6369484268995937,38,11,3.4545454545454546,1,0,True,7,9,0,0,1
grid,10,100,36,0,0,"((4, 5), (4, 6))",1.0111221667974737,0.7324328296607714,122,24,5.083333333333333,1,0,True,7,23,0,0,1
grid,10,100,36,0,1,"((3, 3), (3, 4))",1.6096833349728161,0.47958464932137734,86,23,3.739130434782609,1,0,True,12,17,0,0,1
grid,10,100,36,0,2,"((8, 4), (9, 4))",0.8385900077744798,0.20306563528473662,198,30,6.6,1,0,True,12,23,0,0,1
grid,10,100,36,0,3,"((5, 5), (6, 5))",1.1383861284106196,0.6050022838578192,64,12,5.333333333333333,1,0,True,2,12,0,0,0
grid,10,100,36,0,4,"((3, 4), (4, 4))",1.1816088641250602,0.8019947139264878,120,22,5.454545454545454,1,0,True,13,17,0,0,1
grid,10,100,36,0,5,"((1, 8), (2, 8))",1.9370859891472898,1.4043214405707494,90,22,4.090909090909091,1,0,True,10,14,0,0,1
grid,10,100,36,1,0,"((1, 6), (1, 7))",1.3424659615293892,0.3432506296830041,168,29,5.793103448275862,1,0,True,8,28,0,0,1
grid,10,100,36,1,1,"((1, 4), (2, 4))",1.0687457211795481,0.32889364896938345,90,23,3.9130434782608696,1,0,True,8,13,0,0,1
grid,10,100,36,1,2,"((5, 2), (6, 2))",1.0272633878394184,0.7527048388846707,208,33,6.303030303030303,1,0,True,15,31,0,0,1
grid,10,100,36,1,3,"((1, 5), (1, 6))",1.402189207283428,0.4474091015860557,102,25,4.08,1,0,True,12,18,0,0,0
grid,10,100,36,1,4,"((8, 4), (9, 4))",1.279759066156925,0.3317973324451087,104,22,4.7272727272727275,1,0,True,8,13,0,0,1
grid,10,100,36,1,5,"((3, 1), (4, 1))",0.9432852875849561,0.935100953742771,120,29,4.137931034482759,1,0,True,14,21,0,0,1
grid,12,144,44,0,0,"((3, 2), (4, 2))",1.2337033964203203,1.0216996397717537,132,22,6.0,1,0,True,7,16,0,0,1
grid,12,144,44,0,1,"((1, 4), (1, 5))",1.4637378925489677,1.2450974918461426,146,20,7.3,1,0,True,9,20,0,0,1
grid,12,144,44,0,2,"((5, 2), (5, 3))",1.2455427556322063,0.49325423755288267,78,19,4.105263157894737,1,0,True,6,14,0,0,1
grid,12,144,44,0,3,"((7, 7), (8, 7))",1.399351958638246,0.3322955963962451,116,24,4.833333333333333,1,0,True,8,16,0,0,1
grid,12,144,44,0,4,"((4, 5), (5, 5))",0.9050239993886843,0.6878525354610792,234,32,7.3125,1,0,True,15,31,0,0,1
grid,12,144,44,0,5,"((10, 4), (10, 5))",0.9713952398393684,0.5983127450953832,154,31,4.967741935483871,1,0,True,14,28,0,0,1
grid,12,144,44,1,0,"((10, 5), (10, 6))",0.9666966623900964,0.4998742593242215,104,27,3.8518518518518516,1,0,True,13,12,0,0,1
grid,12,144,44,1,1,"((10, 7), (10, 8))",1.6483720776349344,0.8016983167416011,90,30,3.0,1,0,True,10,12,0,0,1
grid,12,144,44,1,2,"((8, 0), (8, 1))",1.2914773713788135,0.2767713689786058,86,33,2.606060606060606,1,0,True,4,2,0,0,1
grid,12,144,44,1,3,"((4, 7), (5, 7))",1.3818325582383677,1.19978009566393,78,20,3.9,1,0,True,9,18,0,0,1
grid,12,144,44,1,4,"((7, 1), (8, 1))",1.026017664516236,0.8856800085077083,268,42,6.380952380952381,1,0,True,10,32,0,0,1
grid,12,144,44,1,5,"((2, 10), (2, 11))",1.266348217556829,1.0889420092633106,98,35,2.8,1,0,True,6,3,0,0,1
triangulated,6,36,20,0,0,"((3, 1), (4, 0))",1.5376849292622292,1.3659221085772757,38,11,3.4545454545454546,1,0,True,6,8,0,0,0
triangulated,6,36,20,0,1,"((2, 4), (3, 5))",2.0149041926553424,1.8838521557495116,22,9,2.4444444444444446,1,0,True,4,3,0,0,0
triangulated,6,36,20,0,2,"((2, 2), (3, 3))",0.8723366317045539,0.5852146138702147,56,12,4.666666666666667,1,0,True,6,12,0,0,1
triangulated,6,36,20,0,3,"((1, 1), (2, 2))",1.0112816943877723,0.6584015391989207,64,15,4.266666666666667,1,0,True,10,14,0,0,1
triangulated,6,36,20,0,4,"((4, 2), (5, 1))",1.4540225359629573,1.0144852239030515,68,15,4.533333333333333,1,0,True,8,13,0,0,1
triangulated,6,36,20,0,5,"((0, 2), (1, 3))",0.8377114993067375,0.6366710979106278,44,16,2.75,1,0,True,6,4,0,0,1
triangulated,6,36,20,1,0,"((3, 1), (4, 0))",0.8592313805604272,0.6653247601426729,38,10,3.8,1,0,True,4,8,0,0,0
triangulated,6,36,20,1,1,"((1, 0), (1, 1))",0.8014502756484755,0.7133581566747697,36,19,1.894736842105263,1,0,True,2,1,0,0,1
triangulated,6,36,20,1,2,"((2, 4), (3, 5))",1.0199930603885605,0.49203038713632063,38,15,2.533333333333333,1,0,True,4,2,0,0,1
triangulated,6,36,20,1,3,"((2, 4), (3, 3))",0.8603128085962453,0.6368213774454075,96,18,5.333333333333333,1,0,True,11,18,0,0,1
triangulated,6,36,20,1,4,"((2, 0), (3, 1))",0.9137052477894483,0.7606949028436573,50,14,3.5714285714285716,1,0,True,4,9,0,0,1
triangulated,6,36,20,1,5,"((1, 1), (2, 0))",0.8153319662060096,0.4324293194462605,54,14,3.857142857142857,1,0,True,10,9,0,0,1
triangulated,8,64,28,0,0,"((0, 4), (1, 3))",1.153337286518511,0.4428363085283711,94,21,4.476190476190476,1,0,True,6,12,0,0,1
triangulated,8,64,28,0,1,"((2, 6), (3, 5))",1.2464306545296109,0.7249729673683358,74,20,3.7,1,0,True,10,10,0,0,1
triangulated,8,64,28,0,2,"((5, 1), (6, 0))",1.3498778292598588,0.63888527557186,34,14,2.4285714285714284,1,0,True,4,2,0,0,1
triangulated,8,64,28,0,3,"((1, 5), (2, 6))",1.3210700181804087,0.8981883357514557,26,10,2.6,1,0,True,8,4,0,0,1
